prefecture,averageMonthly,sampleCountMonthly,averageYearly,sampleCountYearly
北海道,244428.02766578103,6713,3452289.355773235,0
青森県,246313.4658754362,7125,3478919.1916571176,0
岩手県,249149.1042398844,9950,3518969.6074621016,0
宮城県,251335.79425726013,16221,3549854.308956662,0
秋田県,251030.25769685002,8001,3545538.9257112285,0
山形県,250566.13067273406,10652,3538983.6186116957,0
福島県,249331.92395285552,13810,3521551.744032703,0
茨城県,248750.44173646913,11329,3513338.9180103657,0
栃木県,249422.92855028427,8420,3522837.0884591583,0
群馬県,245546.23589081608,8069,3468082.873356682,0
埼玉県,248501.84556935905,12170,3509827.7580595366,0
千葉県,246012.29517418187,10970,3474665.4715901506,0
東京都,248531.8539817294,22036,3510251.595389482,0
神奈川県,251652.43493412895,16593,3554326.5261929515,0
新潟県,245438.01331515095,10356,3466554.343058455,0
富山県,243579.2206836687,8725,3440300.8480008813,0
石川県,243042.94867290682,10025,3432726.568683438,0
福井県,242034.87853076958,6875,3418488.635927495,0
山梨県,252188.2702237418,4163,3561894.6372825173,0
長野県,242700.89919841304,6516,3427895.478848039,0
岐阜県,242713.15594597431,12849,3428068.592543495,0
静岡県,246433.77044250257,7737,3480618.3674034523,0
愛知県,249070.3448721847,24693,3517857.2140538106,0
三重県,244573.03732709278,4795,3454337.4650470023,0
滋賀県,248166.48693514147,4691,3505091.169320789,0
京都府,251786.869703488,4723,3556225.2762165726,0
大阪府,250462.91513567662,15999,3537525.8074787557,0
兵庫県,248740.8902028433,7667,3513204.0126225394,0
奈良県,249335.48248424032,1957,3521602.004553721,0
和歌山県,266071.2335575984,2253,3757976.9237607173,0
鳥取県,222660.83215277322,2938,3144850.5645174976,0
島根県,222077.69286252817,3264,3136614.3340660585,0
岡山県,235396.25207528818,3218,3324725.0046938844,0
広島県,222398.7331872787,11054,3141148.6917111063,0
山口県,226083.72744508632,4604,3193195.3680837094,0
徳島県,232499.28025839044,1986,3283808.318244464,0
香川県,225311.40816239335,3651,3182287.1687893756,0
愛媛県,229778.0893599139,5910,3245374.3527800655,0
高知県,239351.7555194863,3729,3380592.339416241,0
福岡県,235452.35553418985,8643,3325517.4071685025,0
佐賀県,233036.45110768528,1703,3291395.2927128254,0
長崎県,232939.06490657947,2595,3290019.8148321277,0
熊本県,241269.06629953443,3095,3407672.3419056446,0
大分県,243824.8501904876,2044,3443770.106988702,0
宮崎県,237462.99207216705,2414,3353915.5380402966,0
鹿児島県,233407.2768655676,3439,3296632.817349461,0
沖縄県,207317.904217331,1205,2928147.810321284,0